qtl_group	ftp_path
Skin_Not_Sun_Exposed_Suprapubic	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Skin_Not_Sun_Exposed_Suprapubic.tsv.gz
Skin_Sun_Exposed_Lower_leg	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Skin_Sun_Exposed_Lower_leg.tsv.gz
Small_Intestine_Terminal_Ileum	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Small_Intestine_Terminal_Ileum.tsv.gz
Spleen	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Spleen.tsv.gz
Stomach	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Stomach.tsv.gz
Testis	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Testis.tsv.gz
Thyroid	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Thyroid.tsv.gz
Uterus	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Uterus.tsv.gz
Vagina	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Vagina.tsv.gz
Whole_Blood	http://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/GTEx_V8/ge/Whole_Blood.tsv.gz
